date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,197.5,Put,5,6.2,0.1721,-0.7702,0.052,-0.0555,0.1141,-0.0354
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,200,Call,0.33,0.4,0.1578,0.1251,0.0346,-0.0473,0.0776,0.0091
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,200,Put,7,7.95,0.1578,-0.9089,0.0396,-0.023,0.0639,-0.0243
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,205,Call,0.09,0.1,0.172,0.0371,0.0125,-0.0198,0.0305,0.0027
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,205,Put,11.8,12.9,0.172,-1,0.0017,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,207.5,Call,0.05,0.06,0.1826,0.0217,0.0075,-0.0134,0.0196,0.0015
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,207.5,Put,14.25,15.35,0.1826,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,212.5,Call,0.02,0.03,0.2087,0.0095,0.0032,-0.0074,0.0096,0.0006
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,212.5,Put,19.4,20.35,0.2087,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,217.5,Call,0.01,0.02,0.2454,0.0067,0.002,-0.0064,0.0071,0.0004
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,217.5,Put,24.3,25.5,0.2454,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,222.5,Call,0,0.01,0.2659,0.0033,0.001,-0.0036,0.0037,0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,222.5,Put,29.35,30.55,0.2659,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,225,Call,0,0.01,0.2659,0.0017,0.0005,-0.002,0.002,0.0001
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,225,Put,31.9,33.05,0.2659,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,230,Call,0,0.01,0.2659,0.0004,0.0001,-0.0005,0.0005,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,230,Put,36.8,38.05,0.2659,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,235,Call,0,0.01,0.2659,0,0,-0.0001,0.0001,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,235,Put,41.8,42.9,0.2659,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,240,Call,0,0.01,0.2659,0,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,240,Put,46.8,47.85,0.2659,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,245,Call,0,0.01,0.2659,0,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,245,Put,51.75,52.9,0.2659,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,250,Call,0,0.01,0.2659,0,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,250,Put,56.85,58.05,0.2659,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,135,Call,57.35,59.15,0.6087,0.9866,0.001,-0.0394,0.0183,0.101
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,135,Put,0.01,0.04,0.5103,-0.0045,0.0004,-0.0062,0.007,-0.0006
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,140,Call,52.4,54,0.5113,0.9906,0.0009,-0.0326,0.0134,0.1054
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,140,Put,0.01,0.05,0.4753,-0.0059,0.0006,-0.0074,0.0089,-0.0009
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,145,Call,47.45,49.2,0.5157,0.9814,0.0016,-0.0431,0.0241,0.1078
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,145,Put,0.03,0.06,0.4232,-0.0059,0.0007,-0.0066,0.009,-0.0009
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,150,Call,42.45,44.25,0.4644,0.9792,0.002,-0.0436,0.0266,0.1113
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,150,Put,0.05,0.09,0.3996,-0.0094,0.0011,-0.0093,0.0134,-0.0014
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,155,Call,37.7,39.3,0.4501,0.9667,0.003,-0.0536,0.0394,0.1132
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,155,Put,0.05,0.11,0.36,-0.0117,0.0015,-0.0101,0.0163,-0.0017
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,160,Call,32.7,34.35,0.3966,0.9622,0.0038,-0.0535,0.0437,0.1163
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,160,Put,0.08,0.13,0.3268,-0.0163,0.0023,-0.0121,0.0217,-0.0024
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,165,Call,27.6,29.4,0.3329,0.9611,0.0047,-0.0498,0.0448,0.12
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,165,Put,0.11,0.14,0.2881,-0.0213,0.0033,-0.0134,0.0273,-0.0032
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,170,Call,23.05,24.1,0.2909,0.9491,0.0067,-0.0525,0.0557,0.122
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,170,Put,0.17,0.19,0.257,-0.0326,0.0053,-0.0169,0.0389,-0.0049
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,175,Call,18.25,19.1,0.2491,0.9303,0.01,-0.0555,0.0712,0.123
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,175,Put,0.26,0.3,0.2274,-0.0533,0.009,-0.022,0.063,-0.0075
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,180,Call,13.65,14.2,0.2179,0.8876,0.0164,-0.0628,0.1017,0.1203
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,180,Put,0.46,0.55,0.2026,-0.0971,0.016,-0.0306,0.0973,-0.0133
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,185,Call,8.55,9.7,0.1696,0.8317,0.0277,-0.0629,0.134,0.1158
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,185,Put,1,1.13,0.1856,-0.1913,0.0279,-0.0432,0.1483,-0.0255
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,190,Call,5.45,5.7,0.1746,0.6493,0.0398,-0.0793,0.1976,0.0916
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,190,Put,2.1,2.3,0.1696,-0.3547,0.0423,-0.0514,0.1996,-0.0442
